"Customer Login","ログイン"
"Calculate Handling Fee","手数料を計算"
"Divide Order Weight","注文の重量を分割"
"Documents Allowed Methods","ドキュメント 許容されるメソッド"
"Displayed Error Message","エラーメッセージ表示"
"Default Display Currency","デフォルト表示通貨"
"Currency Converter API","Currency Converter API"
"Scheduled Import Settings","インポートスケジュール設定"
"Error Email Recipient","エラーメール受信者"
"Error Email Sender","エラーメール送信者"
"Error Email Template","エラーメールテンプレート"
"Downloadable Product Section","「Downloadable Product」セクション"
"Downloadable Product Options","「Downloadable Product」オプション"
"Default Sample Title","デフォルトサンプルタイトル"
"Default Link Title","デフォルトリンクタイトル"
"Elasticsearch Server Hostname","Elasticsearchサーバーのホスト名"
"Elasticsearch Server Port","Elasticsearchサーバーポート"
"Elasticsearch Index Prefix","Elasticsearchインデックスの接頭辞"
"Elasticsearch HTTP Username","Elasticsearch HTTPユーザー名"
"Elasticsearch HTTP Password","HTTPパスワード"
"Elasticsearch Server Timeout","Elasticsearchサーバータイムアウト"
"Logo Image Alt","ロゴイメージAlt"
"Manage Encryption Key","暗号化キー管理"
"Web-Services URL (Production)","ウェブサービス URL (開発)"
"Web-Services URL (Sandbox)","ウェブサービス URL (サンドボックス)"
"Packages Request Type","パッケージリクエストタイプ"
"Conversion Value Type","コンバージョン値タイプ"
"Send Order Currency","注文通貨を送信"
"Enable Content Experiments","コンテント試験有効化"
"Category View Optimization","カテゴリ表示最適化"
"Grouped Product Image","Grouped Productの商品画像"
"Start Date&Time","開始日付"
"Change indexer mode","インデックス処理モードを変更する"
"Access Token Expiration","アクセストークンの有効期限"
"Lockout Time (seconds)","ロックアウト時間 (秒)"
"Integration configuration file","インテグレーション構成ファイル"
"Integrations API Configuration","外部API連携設定"
"Add New Source","新しい在庫ソースを追加"
"Enable selected sources ?","選択した在庫ソースを有効にしますか？"
"Disable selected sources ?","選択したソースを無効にする？"
"Synchronize with Catalog","カタログと同期させる"
"Admin bulk operations","管理者による一括操作オペレーション"
"Asynchronous batch size","非同期バッチサイズ"
"Inventory Indexer Settings","Inventory Indexerの設定"
"Source Item Status","在庫ソースの商品在庫ステータス"
"Mass source assignment","複数の在庫ソース割当"
"Assign Inventory Source","在庫ソースの割当"
"Unassign Inventory Source","在庫ソースの割当を解除"
"Google Distance Provider","Google Distance Provider"
"Google API key","Google APIキー"
"Pickup Location Code","集荷場所コード"
"Inventory index (MSI)","""在庫データ""のインデックス（MSI）"
"Product Salable Quantity","商品販売可能数量"
"Proceed to Shipment","発送情報の登録に進む"
"Qty To Deduct","差引数量"
"Display Product Count","商品点数を表示"
"Interval Division Limit","ステップ分割制限数"
"Find Partners & Extensions","パートナーとエクステンションを探す"
"– Please Select assets –","- アセットを選択してください -"
"Used in Products","商品に使用されている"
"Used in Categories","カテゴリで使用"
"Used in Pages","ページで使用"
"Used in Blocks","Blockでの使用"
"Enable Image Optimization","画像の最適化を有効にする"
"Edit asset details","アセット詳細の編集"
"Select Media Database","メディアストレージを選択"
"Environment Update Time","集計期間"
"Minimum Advertised Price","Minimum Advertised Price機能"
"Display Actual Price","Actual Priceの表示"
"Multishipping Settings Section","マルチシッピング設定セクション"
"Select Shipping Method","配送方法を選択"
"Successful Messages Lifetime","処理成功メッセージの有効期限"
"Failed Messages Lifetime","処理失敗メッセージの有効期限"
"New Messages Lifetime","新しいメッセージ有効期限"
"New Relic Reporting","New Relicレポート"
"Insights API URL","インサイト API URL"
"Insights API Key","インサイト API キー"
"Allow Guest Subscription","ゲスト購読を許可する"
"Need to Confirm","登録確認メール機能を使う"
"Confirmation Email Sender","確認メール送信者"
"Confirmation Email Template","確認メールテンプレート"
"Success Email Sender","購読登録の通知メール送信者"
"Unsubscription Email Sender","購読解除メール送信者"
"Unsubscription Email Template","購読解除メールテンプレート"
"Queue Start Date","配信キュー開始日"
"Customer First Name","カスタマー名（姓）"
"Customer Last Name","カスタマー姓"
"Check / Money Order","小切手 / 現金支払"
"Minimum Order Total","注文合計最小値"
"Maximum Order Total","注文合計最大値"
"Bank Transfer Payment","銀行振込"
"Minimum Order Amount","最小注文金額"
"Full Width Image","フルワイド画像"
"Advanced Content Tools","アドバンスドコンテンツツール"
"Enable Page Builder","""Page Builder""を有効にする"
"Google Maps Style","Googleマップスタイル"
"Margins and Padding","Margin　と Padding"
"Background Mobile Image","背景モバイル画像"
"Example: 50px or 100%","例: 50px または 100%"
"Select Products By","商品別で選ぶ"
"Enable Parallax Background","Parallax背景を有効にする"
"Default Active Tab","デフォルトのアクティブタブ"
"Tab Navigation Alignment","タブナビゲーションアライメント"
"Full Page Cache","フルページキャッシュ"
"Full page caching","フルページキャッシング"
"Payment Methods Section","支払方法セクション"
"Zero Subtotal Checkout","ゼロ合計チェックアウト"
"Payment Amount Authorization","支払い金額の承認"
"Other Payment Methods:","その他の支払い方法:"
"PayPal Express Checkout","PayPalエクスプレスチェックアウト"
"Website Payments Standard","Website決済のデフォルト"
"Website Payments Pro","Websiteペイメントプロ"
"Required PayPal Settings","必須PayPal設定"
"API Authentication Methods","API 権限メソッド"
"API Uses Proxy","APIはプロキシーを使用します"
"Enable this Solution","このソリューションを有効にする"
"Merchant Account ID","マーチャントアカウントID"
"Enable PayPal Credit","PayPalクレジットを有効化"
"Advertise PayPal Credit","PayPalクレジットを広告化"
"Catalog Category Page","カタログカテゴリページ"
"Catalog Product Page","カタログ商品ページ"
"Checkout Cart Page","チェックアウトカートページ"
"Advertise PayPal PayLater","広告掲載 PayPal PayLater"
"Enable PayPal PayLater","PayPal PayLaterを有効にする"
"Checkout Payment Step","チェックアウト支払いステップ"
"Payment Applicable From","支払申し込みフォーム"
"Enable SSL verification","SSL証明書有効化"
"Transfer Shipping Options","トランスファー配送オプション"
"Shortcut Buttons Flavor","ショートカットボタン風"
"Billing Agreement Signup","支払契約サインアップ"
"Settlement Report Settings","決済レポート設定"
"Enable Automatic Fetching","自動取得を有効化"
"Time of Day","日の時間"
"Frontend Experience Settings","フロントエンド体験設定"
"PayPal Product Logo","PayPal商品ロゴ"
"Header Image URL","ヘッダー画像URL"
"Header Background Color","ヘッダーバックグラウンドカラー"
"Header Border Color","ヘッダーボーダーカラー"
"Page Background Color","ページバックグラウンドカラー"
"Customize Smart Buttons","スマートボタンのカスタマイズ"
"Mexico Installment Period","メキシコ分割払い期間"
"Brazil Installment Period","ブラジル分割払い期間"
"Disable Funding Options","資金調達オプションの無効化"
"Require CVV Entry","CVVエントリー必須"
"Send Email Confirmation","Eメール確認を送る"
"Enable Payflow Link","Payflowリンクを有効化"
"Enable Express Checkout","エクスプレスチェックアウトを有効化"
"Credit Card Settings","クレジットカード設定"
"Fraud Management Filters","不正管理フィルター"
"Reject Transaction if:","もしトランザクションが拒否されたら:"
"Persistent Shopping Cart","ショッピングカートの永続化"
"Persistence Lifetime (seconds)","保持時間 (秒)"
"Enable ""Remember Me""","""ログイン状態を維持する""を有効にする"
"Persist Shopping Cart","ショッピングカートを永続化する"
"Alert Email Sender","通知メール送信者"
"YouTube API Key","YouTube API キー"
"Autostart base video","Autostart base videoを有効にする"
"Show related video","Show related videoを有効にする"
"Auto restart video","Auto restart videoを有効にする"
"reCAPTCHA Failure Messages","reCAPTCHA の失敗メッセージ"
"Google reCAPTCHA Storefront","Google reCAPTCHAストアフロント"
"Enable for Login","ログイン時に有効にする"
"Invalid JSON received.","無効なJSONを受信しました。"
"reCAPTCHA v2 Invisible","reCAPTCHA v2 インビジブル"
"Invisible Badge Position","Invisible Badgeの表示位置"
"reCAPTCHA v3 Invisible","reCAPTCHA v3 インビジブル"
"Minimum Score Threshold","Minimum Score Threshold"
"Products in Cart","カートに入っている商品"
"Show for Current","最新を表示"
"Current Month Starts","現在の月から開始"
"Refresh Lifetime Statistics","全期間の統計レポートを再集計する"
"RSS Feeds Section","RSSフィードセクション"
"Use Auto Generation","自動生成を使用する"
"Uses per Coupon","クーポンごとの使用可能数"
"Uses per Customer","カスタマーごとの使用可能数"
"Send Order Email","注文メールを送信する"
"Send Sales Emails","販売メールを送る"
"Sales Emails Section","販売メールセクション"
"Hide Customer IP","カスタマーのIPを隠す"
"Allow Zero GrandTotal","総計ゼロを許容"
"Subtotal after discount.","割引後の小計。"
"Include Discount Amount","割引額を含む"
"Multi-address Description Message","複数住所概要メッセージ"
"Use Aggregated Data","集計データの使用"
"Orders Cron Settings","注文書に対するCron処理設定"
"Invoice Email Sender","請求書メール送信者"
"Invoice Email Template","請求書メールテンプレート"
"Shipment Email Sender","発送情報メール送信者"
"Shipment Email Template","発送情報メールテンプレート"
"PDF Credit Memos","クレジットメモのPDF"
"Print Packing Slips","発送情報のPDF"
"Print Credit Memos","クレジットメモのPDF"
"Print Shipping Labels","配送ラベルを印刷"
"Grand Total (Base)","合計 (ベース)"
"Grand Total (Purchased)","合計 (購入)"
"Shipping and Handling","配送料"
"Merge existing synonyms","既存の同義語をマージする"
"Admin Account Sharing","管理者アカウントの共有"
"Select Email Template","メールテンプレートを選択"
"Allow for Guests","ゲストに許可する"
"Limit Sending By","送信制限"
"Shipping Settings Section","配送設定欄"
"Shipping Methods Section","配送方法欄"
"Shipping Policy Parameters","配送ポリシーパラメーター"
"Track your order","ご注文の確認"
"Track All Shipments","すべての配送をトラッキング"
"XML Sitemap Section","XMLサイトマップセクション"
"CMS Pages Options","CMSページオプション"
"Store Url Options","ストアURLオプション"
"Sitemap File Limits","サイトマップファイル制限"
"Link for Google","Googleへリンク"
"Layout building instructions","レイアウト構築の指示"
"Blocks HTML output","BlockHTML出力"
"Page blocks HTML","ページBlockHTML"
"Collection data files","コレクションデータファイル"
"Database DDL operations","データベースDDLキャッシュ"
"Swatches per Product","商品ごとのSwatches(バリエーション見本写真)"
"Show Swatch Tooltip","SwatchのTooltipを表示する"
"Apply Customer Tax","小計に対する課税方法"
"Apply Tax On","税を適用する価格"
"Default Post Code","デフォルトの郵便番号"
"Price Display Settings","価格表示設定"
"Display Shipping Prices","配送料を表示"
"Display Shipping Amount","配送料を表示"
"Default welcome msg!","当ショップのご利用ありがとうございます。"
"Design Config Grid","デザイン設定Grid"
"Default Page Title","デフォルトのページタイトル"
"Page Title Prefix","ページタイトルプレフィックス"
"Page Title Suffix","ページタイトルサフィックス"
"Default Meta Description","デフォルトのメタの説明"
"Default Meta Keywords","初期メタキーワード"
"Logo Attribute Width","ロゴ属性の幅"
"Logo Attribute Height","ロゴ属性の高さ"
"Reset To Defaults","ディフォルトにリセット"
"Skip to Content","コンテンツにスキップ"
"Two Factor Auth","二要素認証"
"Providers to use","使用するプロバイダー"
"U2F Key","U2Fキー"
"WebApi Challenge Domain","WebApiチャレンジドメイン"
"Label Actions One","ラベルアクション 1"
"Label Actions Two","ラベルアクション 2"
"Some Dynamic Actions","いくつかの動的なアクション"
"settings/confirm/title","settings/confirm/title"
"settings/confirm/message","settings/confirm/message"
"settings/callback/provider","settings/callback/provider"
"settings/callback/target","settings/callback/target"
"settings/tooltip/description","settings/tooltip/description"
"Access License Number","アクセスライセンス番号"
"Gateway XML URL","ゲートウェイXML URL"
"Tracking XML URL","トラッキングXML URL"
"Enable Negotiated Rates","ネゴシエイトレートを有効にする"
"Request Tax-Inclusive Rate","税込レートをリクエストする"
"User Notification Template","ユーザー通知テンプレート"
"Password Lifetime (days)","パスワード有効期間 (日)"
"Secure Gateway URL","安全なGateway URL"
"Web API Security","ウェブ API セキュリティ"
"Magento Web API","MagentoウェブAPI"
"Default Response Charset","デフォルトレスポンス文字コード"
"Web Services Configuration","Webサービス設定"
"Fixed Product Taxes","商品固定税"
"Wish List Section","ほしい物リストセクション"
"Show in Sidebar","サイドバーに表示する"
"No Items Found","商品がみつかりませんでした"
"Message from %customer_name:","%customer_name さんからのメッセージ:"
"Associate to Website","所属するWebsite"
"Country of Manufacture","原産国"
"Module is disabled","モジュールは無効です"
"Token has expired","Tokenの有効期限がきれています"
"As low as","同じかそれ以下"
"Out of Stock","在庫切れ"
"Product In Websites","商品の取扱Website"
"Filter %1 doesn't implement %2","フィルタ %1 は %2 をインプリメントしていません。"
"Store not found","Store not found(ストアがありません)"
"Quantity Per Source","在庫ソースごとの数量"
"Quantity per source","在庫ソースごとの数量"
"Associated to %1 stocks","%1 個の在庫が設定されました。"
"Return HTML Version","HTMLバージョン"
"Products in carts","カートに入っている商品"
"Visible on Storefront","ストアフロントで表示されています"
"Skip to page %1","%1 Pageへ移動"
"Total incl. tax","税含む合計"
"Images and Videos","画像と動画"
"Related search terms","関連する検索キーワード"
"Mass Update Attributes","属性の一括更新"
"Add To Cart","カートに入れる"
"Add To Compare","商品比較リストに追加"
"GraphQl Input Limits","GraphQl Inputのリミット"
"Enable Input Limits","インプット制限の有効化"
"Maximum Page Size","Pageサイズの最大値"
"GraphQl Session Management","GraphQl セッションマネジメント"
"Shipping Source Selection","出荷元の選択"
"Source Item Assigning","在庫ソースアイテムの割当"
"Low Quantity Notification","在庫僅少の通知"
"Qty To Ship","配送数量"
"Inventory Source Selection","在庫ソースの選択"
"ZIP/Post Code","郵便番号"
"Delivery Methods Section","配送方法セクション"
"Maximum File Size","最大ファイルサイズ"
"Input List Limit","Inputリストの許容リミット"
"Default Page Size","デフォルトのページサイズ"
"Add To Wishlist","ほしい物リストに追加"
"-- Please Select --","-- 選択してください --"
"Wrong notification ID specified.","間違ったお知らせIDが指定されました"
"Could not retrieve assets.","アセットを取得できませんでした。"
"Adobe id is required.","Adobe IDが必要です。"
"Requested image doesn't exists.","リクエストされた画像は存在しません。"
"Could not save image.","画像を保存できませんでした。"
"Add New Search Term","新しい検索キーワードを追加"
"Missing search engine parameter.","検索エンジンパラメータがありません。"
"Connection failed! Test again?","接続に失敗しました！もう一度テストしますか？"
"Please select an industry.","業種を選択してください。"
"Command ""%1"" was not found.","コマンド ""%1"" がみつかりませんでした。"
"The ""%1"" source doesn't exist.","""%1"" の在庫ソースデータが存在しません。"
"Go to Advanced Reporting","アドバンスドレポートへ移動"
"'Action Details - #' .","' アクションの詳細 - #'。"
"File cannot be read %1","ファイルを読み取ることができません %1"
"Images (.gif, .jpg, .png)","画像（.gif, .jpg, .png）"
"Media (.avi, .flv, .swf)","メディアファイル(.avi, .flv, .swf)"
"Current User Identity Verification","現在操作中ユーザーのID認証"
"Rebuild Flat Catalog Category","Flat Catalog Categoryを再構築"
"Rebuild Flat Catalog Product","Flat Catalog Productを再構築"
"New Store Design Change","新しいストアのデザイン変更"
"You have logged out.","ログアウトしました。"
"%1 cache type(s) disabled.","%1 キャッシュタイプが無効"
"%1 cache type(s) enabled.","%1 キャッシュタイプが有効"
"%1 cache type(s) refreshed.","%1 キャッシュがリフレッシュされました。"
"We updated lifetime statistic.","全期間の統計レポートを再集計しました。"
"You saved the account.","アカウントを保存しました。"
"Edit Store Design Change","ストアデザインの変更を編集"
"You deleted the store.","ストアを削除しました。"
"You deleted the website.","Websiteが削除されました。"
"Store view doesn't exist","""Store View""が存在しません"
"You saved the website.","Websiteを保存しました。"
"You saved the store.","ストアを保存しました。"
"Authentication storage is incorrect.","権限の保管が不正です。"
"Welcome, please sign in","ログイン認証"
"Flush Catalog Images Cache","カタログ画像キャッシュ更新"
"Pregenerated product images files","事前生成される、いろいろなサイズの商品画像ファイル群です"
"Flush JavaScript/CSS Cache","JavaScript/CSSキャッシュ更新"
"Flush Static Files Cache","静的ファイルキャッシュ削除"
"Database and Media Backup","データベースとメディアバックアップ"
"Can't load snapshot archive","スナップショットのアーカイブの読み込みができませんでした。"
"Please correct the password.","パスワードを修正してください。"
"Failed to validate FTP.","FTPの認証に失敗しました。"
"Backup functionality is disabled","バックアップ機能が無効です。"
"Add Products to Option","オプションに商品を追加"
"Could not save child: ""%1""","childを保存できませんでした: ""%1"""
"Buy %1 with %2 discount each","%1　を　%2 の各ディスカウントで購入"
"Category image not found.","カテゴリ画像がみつかりません。"
"Please correct the parameters.","パラメーターを修正してください。"
"Save and Continue Edit","保存して編集を続ける"
"You deleted the rule.","ルールを削除しました。"
"New Catalog Price Rule","カタログ価格ルールの新規登録"
"You saved the rule.","ルールを保存しました。"
"Apply as fixed amount","固定価格として適用"
"Go to Home Page","ホームページへ"
"Search term is empty","検索キーワードが空です"
"The bucket doesn't exist.","バケットは存在しません。"
"Add to Wish List","ほしい物リストに追加"
"Use All Available Attributes","全ての利用可能な属性で使用する"
"Add to Column Options","カラムオプションに追加"
"Use in Filter Options","フィルターオプション内で使用"
"Visible in Advanced Search","アドバンスド検索で表示する"
"Used in Product Listing","商品リスト表示で使用する"
"Depends on design theme.","デザインテーマに依存"
"Edit Attribute Set Name","属性セット名を編集"
"Add New Attribute Set","新規属性の追加"
"Position of Watermark for %1","%1 の透かしファイルの位置"
"Notify Low Stock RSS","在庫僅少の通知RSS"
"Subscribe to RSS Feed","RSSフィードを購読する"
"You deleted the category.","カテゴリを削除しました。"
"You moved the category.","カテゴリ移動をしました。"
"You saved the category.","カテゴリを保存しました。"
"Unable to add attribute","属性を追加できません"
"You duplicated the product.","商品を複製しました。"
"This product doesn't exist.","この商品は存在しません。"
"You saved the product.","商品データを保存しました。"
"Product is not loaded","商品が読み込まれていません。"
"Can't delete root category.","ルートカテゴリは削除できません。"
"Static block and products","静的Blockと商品"
"Could not move category","カテゴリを移動できませんでした"
"Could not save category: %1","カテゴリは保存できませんでした: %1"
"Automatic (equalize price ranges)","自動レンジ算出 (価格範囲をベース)"
"Automatic (equalize product counts)","自動 (商品カウントと同じ)"
"Unknown EAV indexer type ""%1"".","不明な EAV インデクサータイプ ""%1""。"
"Bad value was supplied.","不正な値です。"
"Please correct the category.","カテゴリを修正してください。"
"The product wasn't registered.","商品が登録されていません。"
"Attribute Set already exists.","属性セットは既に存在します。"
"The image doesn't exist.","画像が存在しません。"
"Invalid attribute %fieldName = %fieldValue.","不正な属性 %fieldName = %fieldValue."
"Could not save Prices.","価格を保存できません。"
"Could not delete Prices","価格を削除できません"
"Processor %1 doesn't implement BaseSelectProcessorInterface","プロセッサ %1 はBaseSelectProcessorInterfaceを実装していません"
"Product Name or SKU","商品名もしくはSKU"
"This item has weight","重量あり"
"A name is required.","名前は必須です。"
"Please select a node.","ノードを選択してください。"
"The field isn't complete.","フィールドが全て埋まっていません。"
"Maximum number of characters:","最大文字数:"
"Notify for Quantity Below","これ以下の数量になれば通知"
"Add Product To Websites","商品をWebsiteに追加"
"Remove Product From Websites","Websiteから商品を削除"
"Hide from Product Page","商品ページから隠す"
"Edit Terms and Conditions","コンディション(利用規約)内容の編集"
"New Terms and Conditions","新規条件"
"Terms and Conditions Information","コンディション(利用規約)内容"
"Checkout Terms and Conditions","注文時の利用規約確認"
"You deleted the condition.","状態を削除しました。"
"You saved the condition.","コンディション(利用規約)内容を保存しました。"
"Customer is already registered","カスタマーは既に登録済みです"
"Your session has expired","セッションが期限切れです"
"You used coupon code ""%1"".","クーポンコード ""%1""を使用しました。"
"Guest checkout is disabled.","ゲスト購入は無効です。"
"Load customer quote error","カスタマーの見積もり読み込みエラー"
"Estimate Shipping and Tax","送料と税金の計算"
"Your order number is: %1.","今回ご注文のオーダーNoは %1 です。"
"You deleted the block.","Block要素を削除しました。"
"You saved the block.","Block要素を保存しました。"
"You duplicated the block.","Block要素を複製しました。"
"You saved the page.","ページを保存しました。"
"You duplicated the page.","ページを複製しました。"
"Required field ""%1"" is empty.","必須フィールド ""%1"" が空です。"
"Layout update is invalid","レイアウトの更新が無効です"
"We cannot delete directory %1.","ディクショナリー %1 を削除できません。"
"Privacy and Cookie Policy","プライバシーポリシー"
"Customer must be logged","お客様はログインが必要があります"
"The account is locked.","アカウントはロックされています。"
"-- No Theme --","-- テーマなし --"
"You saved the configuration.","設定を保存しました"
"The ""%1"" file doesn't exist.","ファイル ""%1"" が存在しません。"
"Only Once (version upgrade)","一度だけ (バージョンアップ)"
"Visible section not found.","表示セクションがみつかりません。"
"Filesystem is not writable.","ファイルシステムが書き込み不可です。"
"configurableOptionValueUids values are incorrect","configurableOptionValueUids の値が不正です。"
"New attribute set name","新しい属性セット名"
"Choose existing Attribute Set","属性セットを選択"
"Bulk Images &amp; Price","バルク画像 &amp; 価格"
"Choose Affected Attribute Set","影響ある属性セットを選択してください"
"Choose a different Product","別の商品を選択してください"
"Buy %1 for %2 each and","それぞれ%2で%1個、購入すると"
"Required parameters are missing: %1","必要なパラメータがありません: %1"
"Specify the ""currentPassword"" value.","""currentPassword"" の値を指定してください。"
"Specify the ""newPassword"" value.","""newPassword"" の値を指定してください。"
"Specify the ""email"" value.","""email"" の値を指定してください。"
"Specify the ""password"" value.","""password"" の値を指定してください。"
"Email must be specified","電子メールの指定が必要です"
"The account is locked","アカウントがロックされています"
"resetPasswordToken must be specified","resetPasswordTokenを指定する必要があります。"
"newPassword must be specified","newPasswordを指定する必要があります。"
"Please specify a website.","Websiteをしてください。"
"Customer not logged in","カスタマーはログインしていません"
"Subscribed on Store View","購読対象の""Store View"""
"Days in Wish List","ほしい物リスト内日付"
"Add New Customer Group","新規カスタマーグループの追加"
"Please enter your email.","メールアドレスを入力してください。"
"You updated your password.","パスワードを更新しました。"
"You deleted the address.","アドレス帳データを削除しました。"
"No files for upload.","アップロード用のファイルがありません。"
"You saved the address.","アドレス帳データを更新しました。"
"Please select customer(s).","カスタマーを選択してください。"
"You deleted the customer.","カスタマーを削除しました。"
"You saved the customer.","カスタマーを保存しました"
"Invalid login or password.","ログイン名かパスワードが違います。"
"""%1"" is a required value.","""%1""は必要な値です。"
"Unable to create directory %1.","ディレクトリ %1 を作成できません。"
"Reset password token expired.","リセットパスワードトークンが期限切れです"
"Attribute object is undefined","属性オブジェクトが未定義です"
"""%1"" is an empty string.","""%1""は空の文字列"
"""%1"" uses too many characters.","""%1"" は文字数が多すぎです"
"You can't delete group ""%1"".","グループ""%1""は削除できません。"
"Customer Group already exists.","カスタマーグループは既に存在します"
"VAT Number is valid.","VATナンバーは有効です。"
"Customer does not exist","カスタマーが存在しません"
"Set as default billing","デフォルトの請求先として設定する"
"Set as default shipping","デフォルトのお届け先として設定する"
"Back to Sign In","ログインに戻る"
"Change Email and Password","メールアドレスとパスワードを変更する"
"Sign Up for Newsletter","メルマガ登録"
"Set a New Password","パスワードを再設定する"
"Wrong logger interface specified.","不正なログインターフェースが指定されました。"
"The hash isn't saved.","ハッシュは保存されません。"
"Wrong queue type specified.","不正な配信キュータイプが指定されました"
"Wrong deploy strategy type: %1","間違ったデプロイ方法の種類: %1"
"Template hints are %status","テンプレート・ヒントは %status"
"Client side less compilation","クライアントサイドlessコンパイル"
"Server side less compilation","サーバーサイドlessコンパイル"
"Please specify origin country.","原産国を指定してください。"
"Unable to retrieve tracking","トラッキングを読み込みできません"
"No packages for request","依頼のパッケージはありません"
"The country isn't available.","国が有効ではありません。"
"Undefined rate from ""%1-%2"".","""%1-%2""の未定義のレート"
"Your current currency is: %1.","現在の通貨: %1."
"The link has expired.","リンクは有効期限切れです。"
"Invalid download link type.","不正なダウンロードリンクです。"
"Link file not provided","リンク ファイルは提供されません。"
"Sample file not provided","サンプル ファイルは提供されません。"
"Is this downloadable Product?","これは""Downloadable Product""ですか？"
"Invalid entity_type specified: %1","無効なエンティティタイプが指定されました: %1"
"Missing %1 for the input %2.","入力%2に対する%1がありません。"
"Cannot resolve EAV type","EAV型を解決できません"
"Entity object is undefined","エンティティオブジェクトが未定義です"
"Entity is not initialized","エンティティのインスタンスが未作成です"
"Unique constraint violation found","一意制約違反が検出されました"
"AttributeSet does not exist.","属性は存在しません"
"Some internal exception message.","内部Exceptionメッセージ"
"Convert to Plain Text","プレーンテキストに変換"
"Duplicate Of Template Name","テンプレート名の複製"
"Invalid transactional email code: %1","不正なトランザクション用Emailコード: %1"
"Error filtering template: %s","テンプレ−トのフィルタリングエラー: %s"
"Invalid response from carrier","キャリアからの応答が無効です"
"No available tracking items","利用可能なトラッキングアイテムがありません"
"Can't load cart item","カートの中身を読み込むことができない"
"<span>Item %1</span> of %2","<span>個別商品 %1</span> の %2"
"Data key is missing: %1","データキーがありません: %1"
"Cannot process the item.","商品を処理できません"
"Add Products to Group","商品をグループに追加"
"-- Not Selected --","-- 選択されていない --。"
"Unknown attribute filter type","不明な属性フィルタタイプ"
"Empty attribute value constant","空の属性値定数"
"Select File to Import","インポートするファイルを選択"
"The export is finished.","エクスポートは終了しました。"
"Please provide filter data.","フィルターデータを提供してください"
"Please specify the writer.","ライターを指定してください。"
"The validation is complete.","認証が完了しました。"
"The import was successful.","インポートは成功しました。"
"Source file coping failed","ソースファイルコピー失敗"
"Please specify a source.","ソースを指定してください"
"Cannot get autoincrement value","オートインクリメント値を取得できません"
"'Error in CSV: ' .","'CSVのエラー: ' ."
"Add/Update Complex Data","追加/アップデートコンプレックスデータ"
"%status (%count in backlog)","%status (未処理: %count)"
"%1 indexer(s) were invalidated.","%1 つの Indexer が無効になりました。"
"Edit Integration '%1'","編集インテグレーション '%1'"
"Integration Tokens for Extensions","エクステンションのためのインテグレーショントークン"
"Invalid Rejected Callback URL","不正な除外されたコールバックURL"
"Consumer key has expired","コンシューマーキーは期限が切れました"
"Invalid token to except","予期された不正なトークン"
"Could not save Source.","在庫ソースデータを更新できませんでした。"
"You deleted %1 Stock(s).","あなたは %1 Stock を削除しました。"
"Could not save Stock.","ストックを保存できませんでした。"
"Validator must implement StockSourceLinkValidatorInterface.","ValidatorはStockSourceLinkValidatorInterfaceを実装する必要があります。"
"Disabled for default stock","デフォルトでは無効"
"to the destination source","宛先の在庫ソース"
"Website code is empty","Websiteコードは空です"
"No such distance provider: %1","そのような距離プロバイダはありません。%1"
"Unable to geocode address %1","アドレス %1 をジオコードできません。"
"Missing required column ""%column""","必須列 ""%column"" がみつかりません。"
"Table %table already exits","テーブル %table は既に終了しています。"
"SelectBuilder must implement SelectBuilderInterface.","SelectBuilderはSelectBuilderInterfaceを実装する必要があります。"
"Input data is empty","入力データが空である"
"Cannot update Reservation %reservation","予約 %reservation を更新できません。"
"Could not append Reservation","予約の追加に失敗しました"
"No linked stock found","リンク先の在庫がありません"
"Manage stock is enabled","在庫を管理する」が有効"
"$websiteId parameter is required","$websiteId パラメータは必須入力です"
"The order doesn't exist.","オーダーは存在しない。"
"Could not save Source","ソースを保存できませんでした"
"Could not delete Stock","在庫を削除できませんでした"
"Could not save Stock","在庫を保存できませんでした"
"Could not delete StockSourceLinks","StockSourceLinksを削除できませんでした。"
"Could not save StockSourceLinks","StockSourceLinksを更新できませんでした。"
"""%field"" should be numeric.","""%field"" は数字でなければなりません。"
"Use in Layered Navigation","絞込検索で使用する"
"Position in Layered Navigation","絞込検索内の位置"
"You are logged in","ログイン中です"
"Cannot login to account.","アカウントにログインできません。"
"Login as Customer Log","""Login as Customer""の履歴"
"Login was not successful.","ログインに失敗しました。"
"No partners were found","パートナーがみつかりません"
"GetContent items must implement %1.","GetContent 項目は %1 を実装する必要があります。"
". ' must implement ' .",".' を実装しなければならない' ."
"Not a GIF image","GIF画像ではありません"
"The file is corrupted","ファイルが破損している"
"XMP data is corrupted","XMP データが破損している"
"Not a JPEG image","JPEG画像ではありません"
"Not a PNG image","PNG画像ではありません"
"The image is corrupted","画像が破損している"
"Retrieving directories list failed.","ディレクトリーリストの取得に失敗しました。"
"Image ID is required.","画像IDが必要です。"
"Could not upload image.","画像をアップロードできませんでした。"
"File %1 is not readable","ファイル%1は読み込めません"
"Wrong file info format","不正なファイル情報フォーマット"
"Unable to create directory: %1","ディレクトリを作れませんでした: %1"
"Unable to save file: %1","ファイルが保存できませんでした: %1"
"Ship to Multiple Addresses","複数の住所へ送る"
"Total for this address","このアドレスへの合計"
"Back to Billing Information","請求先情報に戻る"
"Go to Shipping Information","配送方法の選択に進む"
"Update Qty &amp; Addresses","""数量""と""お届け先""の更新"
"Enter a New Address","新しい住所を入力"
